FID,SHAPE,NAME,ADRESSE,BETREUUNG,ART,ART_TXT,SKZ,TELEFON,WEBLINK1,SE_SDO_ROWID,SE_ANNO_CAD_DATA
SCHULEOGD.631791,POINT (16.341451338620562 48.209664062821645),MS Pfeilgasse 42b,"8., Pfeilgasse 42b",Ganztagsschule in getrennter Abfolge<br>Offene Schule,2,Mittelschule (öffentlich),908012,01 4000 561 010,http://oms.schulepfeilgasse.at/,631791,
SCHULEOGD.631792,POINT (16.355871221004843 48.17516421900003),Phönix Realgymnasium Knöllgasse 20 - 24,"10., Knöllgasse 20",Ganztagsschule in getrennter Abfolge<br>Ganztagsschule in verschränkter Abfolge,6,Allgemeinbildende höhere Schule (privat),910066,01 208 46 57,http://phoenixschulen.at,631792,
SCHULEOGD.631793,POINT (16.383401246023368 48.29061365105023),MS Roda-Roda-Gasse 3,"21., Roda-Roda-Gasse 3",Ganztagsschule in getrennter Abfolge<br>Offene Schule,2,Mittelschule (öffentlich),921092,01 292 41 53,http://roda.schule.wien.at/,631793,
SCHULEOGD.631794,POINT (16.411001102707885 48.284423663353145),MS Hanreitergasse 2,"21., Hanreitergasse 2",Ganztagsschule in getrennter Abfolge<br>Offene Schule,2,Mittelschule (öffentlich),921182,01 294 52 00-211,http://hanreiter.schule.wien.at/,631794,
SCHULEOGD.631795,POINT (16.282451525475874 48.136494449394434),MS Dirmhirngasse 138,"23., Dirmhirngasse 138",Offene Schule<br>Ganztagsschule in getrennter Abfolge,2,Mittelschule (öffentlich),923042,01 4000 563 900,http://www.brueckenschule.at/,631795,
SCHULEOGD.631796,POINT (16.346911281348653 48.18694416800056),VS Am Hundsturm 18,"5., Am Hundsturm 18",Ganztagsschule in verschränkter Abfolge<br>Offene Schule,1,Volksschule (öffentlich),905061,01 4000 99 561 580,http://amhundsturm.schule.wien.at/,631796,
SCHULEOGD.631797,POINT (16.46154067582727 48.154564251438714),MS Svetelskystraße 4-6,"11., Svetelskystraße 4-6",Ganztagsschule in getrennter Abfolge<br>Offene Schule,2,Mittelschule (öffentlich),911092,01 4000 561 150,http://nmsbrunokreiskyschule.schule.wien.at/,631797,
SCHULEOGD.631798,POINT (16.391491171827596 48.26595376364794),MS Deublergasse 21,"21., Deublergasse 21",Ganztagsschule in getrennter Abfolge<br>Offene Schule,2,Mittelschule (öffentlich),921032,01 4000 563 180,www.europaschule.at,631798,
SCHULEOGD.631799,POINT (16.482750689588414 48.2395538335568),GTVS Pirquetgasse 6b,"22., Pirquetgasse 6b",Ganztagsschule in verschränkter Abfolge<br>Offene Schule,1,Volksschule (öffentlich),922171,01 282 52 96 / 111,http://www.pirquetschule.at/,631799,
SCHULEOGD.631800,POINT (16.3803711657122 48.2221939790874),pRgORg 2 Obere Augartenstraße 1c,"2., Obere Augartenstraße 1c",Ganztagsschule in verschränkter Abfolge<br>Ganztagsschule in getrennter Abfolge,6,Allgemeinbildende höhere Schule (privat),902076,01 216 39 42,http://www.wsk-schule.at,631800,
SCHULEOGD.631801,POINT (16.322701413052492 48.19693413518897),MS Selzergasse 25,"15., Selzergasse 25",Offene Schule<br>Ganztagsschule in getrennter Abfolge,2,Mittelschule (öffentlich),915042,01 4000 99 562 460,http://www.nms-selzergasse.at,631801,
SCHULEOGD.631802,POINT (16.323481400558613 48.191154162590614),MS Kauergasse 3-5,"15., Kauergasse 3-5",Ganztagsschule in getrennter Abfolge<br>Offene Schule,2,Mittelschule (öffentlich),915012,01 4000 562 430,http://www.kauergasse.at/,631802,
SCHULEOGD.631803,POINT (16.285181549758423 48.16392431618005),BIG Maygasse 25,"13., Maygasse 25",Ganztagsschule in getrennter Abfolge<br>Ganztagsschule in verschränkter Abfolge<br>Offene Schule<br>Campus<br>Campus plus<br>Lern- und Freizeitklub<br>Volksschule mit Hortangebot,9,Humanberufliche Schule (öffentlich),913033,01 804 63 64-20,http://www.big-kids.at,631803,
SCHULEOGD.631804,POINT (16.363071254009146 48.22430397980141),MS Glasergasse 8,"9., Glasergasse 8",Ganztagsschule in getrennter Abfolge<br>Offene Schule,2,Mittelschule (öffentlich),909012,01 317 29 40,http://www.glasergasse8.at/,631804,
SCHULEOGD.631805,POINT (16.456330706162422 48.15803423822826),VS Rzehakgasse 9,"11., Rzehakgasse 9",Ganztagsschule in verschränkter Abfolge<br>Offene Schule,1,Volksschule (öffentlich),911071,01 4000 562 040,diegrueneschule.at,631805,
SCHULEOGD.631806,POINT (16.432240834674364 48.16630421379186),MS Florian-Hedorferstraße 22,"11., Florian-Hedorfer-Straße 22",Ganztagsschule in getrennter Abfolge<br>Offene Schule,2,Mittelschule (öffentlich),911072,01 4000 561 140,http://flo-he.schule.wien.at/,631806,
SCHULEOGD.631564,POINT (16.3841512234434 48.27694371541635),VS Tomaschekstraße 44,"21., Tomaschekstraße 44",,1,Volksschule (öffentlich),921021,01 271 15 74,http://tomaschek.schule.wien.at/,631564,
SCHULEOGD.631565,POINT (16.374051283017767 48.28383368870008),"Berufsschule für Spengler, Karosseriebau- und Metalltechnik","21., Scheydgasse 40",,5,Berufsschule (öffentlich),921025,01 59916-95701,http://www.siegfried-marcus-berufsschule.at/,631565,
SCHULEOGD.631566,POINT (16.40145110937324 48.255363807635796),GRg 21 Franklinstraße 21,"21., Franklinstraße 21",Ganztagsschule in getrennter Abfolge,6,Allgemeinbildende höhere Schule (öffentlich),921026,01 271 15 99,http://www.das21er.ac.at,631566,
SCHULEOGD.631567,POINT (16.410931091101236 48.27590370377802),VS Berzeliusgasse 2,"21., Berzeliusgasse 2",,1,Volksschule (öffentlich),921031,01 292 35 62,http://berzelius.schule.wien.at/,631567,
SCHULEOGD.631568,POINT (16.4085911037363 48.27695370034484),VS Brünnerstraße 139,"21., Brünner Straße 139",,1,Volksschule (öffentlich),921041,01 4000 563 340,http://geps-bruennerstrasse.schule.wien.at,631568,
SCHULEOGD.631569,POINT (16.418661080574022 48.295523605347384),MS Regnerweg 6,"21., Regnerweg 6",,2,Mittelschule (öffentlich),921042,01 4000 560 200,http://onmms-regnerweg.schule.wien.at,631569,
SCHULEOGD.631570,POINT (16.405081087967616 48.25351381494125),GRg 21 Franklinstraße 26,"21., Franklinstraße 26",Ganztagsschule in getrennter Abfolge,6,Allgemeinbildende höhere Schule (öffentlich),921046,01 278 34 55,http://www.grg21f26.com/,631570,
SCHULEOGD.631571,POINT (16.383321211921096 48.26612376826807),VS Christian-Bucher-Gasse 14,"21., Christian-Bucher-Gasse 14",,1,Volksschule (öffentlich),921051,01 4000 560 210,http://christian-buchergasse.schule.wien.at/,631571,
SCHULEOGD.631572,POINT (16.40964106650389 48.253423812370315),MS Kinzerplatz 9,"21., Kinzerplatz 9",,2,Mittelschule (öffentlich),921052,01 4000 563 200,http://www.kinzerplatz.at/,631572,
SCHULEOGD.631573,POINT (16.45056089365098 48.273923689594696),SSB Herchenhahngasse 6,"21., Herchenhahngasse 6",Ganztagsschule in getrennter Abfolge,3,Sonderschule (öffentlich),921053,01 4000 563 300,http://spz-herchenhahngasse.schule.wien.at/,631573,
SCHULEOGD.631574,POINT (16.44199091786558 48.26068375785412),SSB Herchenhahngasse 6,"22., Brioschiweg 1",,11,Sonstige (öffentlich),921053e,01 258 68 70,,631574,
SCHULEOGD.631575,POINT (16.388701219751347 48.29033364858113),SSB Herchenhahngasse 6,"21., Irenäusgasse 2",,11,Sonstige (öffentlich),921053e,,,631575,
SCHULEOGD.631576,POINT (16.40239114146446 48.28191368090943),GRg 21 Ödenburger Straße 74,"21., Ödenburger Straße 74",Ganztagsschule in getrennter Abfolge,6,Allgemeinbildende höhere Schule (öffentlich),921056,01 292 35 50,http://www.grg21oe.at,631576,
SCHULEOGD.631577,POINT (16.41021106305091 48.25348381149828),SES Theodor-Körner-Gasse 25,"21., Theodor-Körner-Gasse 25",,3,Sonderschule (öffentlich),921063,01 4000 563 310,,631577,
SCHULEOGD.631578,POINT (16.4445609209705 48.2717437033862),SES Theodor-Körner-Gasse 25,"21., Pastorstraße 29",,11,Sonstige (öffentlich),921063e,01 368 53 85,,631578,
SCHULEOGD.631579,POINT (16.40964106650389 48.253423812370315),SES Theodor-Körner-Gasse 25,"21., Kinzerplatz 9",,11,Sonstige (öffentlich),921063e,01 368 53 85,,631579,
SCHULEOGD.631580,POINT (16.403781096317854 48.25454381027446),SES Theodor-Körner-Gasse 25,"21., Fanklinstraße 27-33",,11,Sonstige (öffentlich),921063e,,,631580,
SCHULEOGD.631581,POINT (16.410281106155427 48.28466366314067),SES Theodor-Körner-Gasse 25,"21., Hanreitergasse 2",,11,Sonstige (öffentlich),921063e,01 368 53 84,,631581,
SCHULEOGD.631582,POINT (16.33906141491655 48.255893844283314),SES Theodor-Körner-Gasse 25,"19., Managettagasse 1",,11,Sonstige (öffentlich),921063e,01 368 53 85,,631582,
SCHULEOGD.631583,POINT (16.419841050895165 48.27805368856582),SES Theodor-Körner-Gasse 25,"21., Marco-Polo-Platz 9",,11,Sonstige (öffentlich),921063e,01 368 53 85,,631583,
SCHULEOGD.631584,POINT (16.387421164702584 48.246113860489366),GRg 21 Donauinselplatz 1,"21., Donauinselplatz 1",Ganztagsschule in getrennter Abfolge,6,Allgemeinbildende höhere Schule (öffentlich),921066,01 271 40 97-11,http://www.schulschiff.at/,631584,
SCHULEOGD.631585,POINT (16.41347111201379 48.299933587747375),VS Dr.-Skala-Straße 43-45,"21., Dr.-Skala-Straße 43-45",,1,Volksschule (öffentlich),921071,01 292 53 50,http://stammersdorf.schule.wien.at/,631585,
SCHULEOGD.631586,POINT (16.44451092075257 48.271943702664196),MS Pastorstraße 29,"21., Pastorstraße 29",,2,Mittelschule (öffentlich),921072,01 259 61 01,http://www.sms21.at/,631586,
SCHULEOGD.631587,POINT (16.42520103436293 48.285913647728755),GRgORg 21 Gerasdorfer Straße 103,"21., Gerasdorfer Straße 103",Ganztagsschule in getrennter Abfolge,6,Allgemeinbildende höhere Schule (öffentlich),921076,01 294 71 70,http://www.elgym.at,631587,
SCHULEOGD.631588,POINT (16.389471175121194 48.260353791232426),VS Dunantgasse 2,"21., Dunantgasse 2",,1,Volksschule (öffentlich),921081,01 271 13 95,http://henry-dunant.schule.wien.at/,631588,
