FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,LTYP,WEBLINK1,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.8751982,8751982,POINT (16.174702591480635 48.32910539434582),Zeiselmauer Florianiplatz,Zeiselmauer Florianiplatz,"413, 406",,3,https://anachb.vor.at?P=SQ&input=Zeiselmauer%20Florianiplatz&start=1,
OEFFHALTESTOGD.8751983,8751983,POINT (16.184494235894874 48.325438102579916),Zeiselmauer Gebirgsweg,Zeiselmauer Gebirgsweg,406,,3,https://anachb.vor.at?P=SQ&input=Zeiselmauer%20Gebirgsweg&start=1,
OEFFHALTESTOGD.8751984,8751984,POINT (16.184566035392876 48.32552770175963),Zeiselmauer Gebirgsweg,Zeiselmauer Gebirgsweg,406,,3,https://anachb.vor.at?P=SQ&input=Zeiselmauer%20Gebirgsweg&start=1,
OEFFHALTESTOGD.8751985,8751985,POINT (16.35166988606407 48.31139380660919),Langenzersdorf Schulstraße,Langenzersdorf Schulstraße,856,,3,https://anachb.vor.at?P=SQ&input=Langenzersdorf%20Schulstraße&start=1,
OEFFHALTESTOGD.8751986,8751986,POINT (16.338244581461602 48.29349710547038),Klosterneuburg Aufeldgasse/Inkustraße,Klosterneuburg Aufeldgasse/Inkustraße,1,,2,https://anachb.vor.at?P=SQ&input=Klosterneuburg%20Aufeldgasse/Inkustraße&start=1,
OEFFHALTESTOGD.8751987,8751987,POINT (16.48901200249719 48.02968101689423),Gramatneusiedl Schulen,Gramatneusiedl Schulen,"221, 248, 226, 222",,3,https://anachb.vor.at?P=SQ&input=Gramatneusiedl%20Schulen&start=1,
OEFFHALTESTOGD.8751988,8751988,POINT (16.580594843473982 48.06978883718176),Schwadorf Schulgasse,Schwadorf Schulgasse,"272, 221, 248, 222",,3,https://anachb.vor.at?P=SQ&input=Schwadorf%20bei%20Wien%20Schulgasse&start=1,
OEFFHALTESTOGD.8751989,8751989,POINT (16.579651647014003 48.069740838172734),Schwadorf Schulgasse,Schwadorf Schulgasse,"272, 221, 248, 222",,3,https://anachb.vor.at?P=SQ&input=Schwadorf%20bei%20Wien%20Schulgasse&start=1,
OEFFHALTESTOGD.8751990,8751990,POINT (16.253937694365533 48.00795382147352),Baden Hochschulpromenade,Baden Hochschulpromenade,C,,2,https://anachb.vor.at?P=SQ&input=Baden%20bei%20Wien%20Hochschulpromenade&start=1,
OEFFHALTESTOGD.8751991,8751991,POINT (16.256722377620967 48.00567003045626),Baden Kollmannstraße,Baden Kollmannstraße,C,,2,https://anachb.vor.at?P=SQ&input=Baden%20bei%20Wien%20Kollmannstraße&start=1,
OEFFHALTESTOGD.8751992,8751992,POINT (16.254440687627497 48.0044258373205),Baden Bezirkshauptmannschaft,Baden Bezirkshauptmannschaft,C,,2,https://anachb.vor.at?P=SQ&input=Baden%20bei%20Wien%20Bezirkshauptmannschaft&start=1,
OEFFHALTESTOGD.8751993,8751993,POINT (16.253281889855447 48.00230414835514),Baden Kanalgasse,Baden Kanalgasse,C,,2,https://anachb.vor.at?P=SQ&input=Baden%20bei%20Wien%20Kanalgasse&start=1,
OEFFHALTESTOGD.8751994,8751994,POINT (16.246427824311997 48.003536346986294),Baden Prinz-Solms-Straße,Baden Prinz-Solms-Straße,C,,2,https://anachb.vor.at?P=SQ&input=Baden%20bei%20Wien%20Prinz-Solms-Straße&start=1,
OEFFHALTESTOGD.8751995,8751995,POINT (16.21277228800562 48.001408621498335),Baden Dörflergasse,Baden Dörflergasse,308,,3,https://anachb.vor.at?P=SQ&input=Baden%20bei%20Wien%20Dörflergasse&start=1,
OEFFHALTESTOGD.8751996,8751996,POINT (16.212732086563715 48.001408578345895),Baden Dörflergasse,Baden Dörflergasse,308,,2,https://anachb.vor.at?P=SQ&input=Baden%20bei%20Wien%20Dörflergasse&start=1,
OEFFHALTESTOGD.8751997,8751997,POINT (16.212651289590973 48.003921066651394),Baden Steinbruchgasse,Baden Steinbruchgasse,A,,2,https://anachb.vor.at?P=SQ&input=Baden%20bei%20Wien%20Steinbruchgasse&start=1,
OEFFHALTESTOGD.8751998,8751998,POINT (16.212561489690636 48.00383686652569),Baden Steinbruchgasse,Baden Steinbruchgasse,A,,2,https://anachb.vor.at?P=SQ&input=Baden%20bei%20Wien%20Steinbruchgasse&start=1,
OEFFHALTESTOGD.8751999,8751999,POINT (16.215799672403282 48.000951821011526),Baden Dumbagasse,Baden Dumbagasse,"A, 308",,3,https://anachb.vor.at?P=SQ&input=Baden%20bei%20Wien%20Dumbagasse&start=1,
OEFFHALTESTOGD.8752000,8752000,POINT (16.21575947131181 48.00095177891883),Baden Dumbagasse,Baden Dumbagasse,"A, 308",,2,https://anachb.vor.at?P=SQ&input=Baden%20bei%20Wien%20Dumbagasse&start=1,
OEFFHALTESTOGD.8752001,8752001,POINT (16.42040807642866 48.093866377454574),Maria Lanzendorf Sportplatz,Maria Lanzendorf Sportplatz,"217, 227, 226",,3,https://anachb.vor.at?P=SQ&input=Maria%20Lanzendorf%20Sportplatz&start=1,
OEFFHALTESTOGD.8752002,8752002,POINT (16.420524875644453 48.09398637636487),Maria Lanzendorf Sportplatz,Maria Lanzendorf Sportplatz,"217, 227, 226",,3,https://anachb.vor.at?P=SQ&input=Maria%20Lanzendorf%20Sportplatz&start=1,
OEFFHALTESTOGD.8752003,8752003,POINT (16.466392699198735 48.11574932825024),Zwölfaxing Josef-Weiß-Gasse,Zwölfaxing Josef-Weiß-Gasse,218,,3,https://anachb.vor.at?P=SQ&input=Zwölfaxing%20Josef-Weiß-Gasse&start=1,
OEFFHALTESTOGD.8752004,8752004,POINT (16.46635679861879 48.11541352943952),Zwölfaxing Josef-Weiß-Gasse,Zwölfaxing Josef-Weiß-Gasse,218,,3,https://anachb.vor.at?P=SQ&input=Zwölfaxing%20Josef-Weiß-Gasse&start=1,
OEFFHALTESTOGD.8752005,8752005,POINT (16.329202590621236 48.079614634183116),Wiener Neudorf Buchenweg,Wiener Neudorf Buchenweg,214,,3,https://anachb.vor.at?P=SQ&input=Wiener%20Neudorf%20Buchenweg&start=1,
OEFFHALTESTOGD.8752006,8752006,POINT (16.329175590045384 48.07954863465641),Wiener Neudorf Buchenweg,Wiener Neudorf Buchenweg,214,,3,https://anachb.vor.at?P=SQ&input=Wiener%20Neudorf%20Buchenweg&start=1,
OEFFHALTESTOGD.8752007,8752007,POINT (16.17393882369726 48.20532018648261),Purkersdorf Volksschule,Purkersdorf Volksschule,452,,3,https://anachb.vor.at?P=SQ&input=Purkersdorf%20bei%20Wien%20Volksschule&start=1,
OEFFHALTESTOGD.8752593,8752593,POINT (16.396068702319795 48.224330899858536),Jakov-Lind-Straße,Jakov-Lind-Straße,82A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Jakov-Lind-Straße&start=1,
OEFFHALTESTOGD.8752594,8752594,POINT (16.396499901097297 48.22440869944923),Jakov-Lind-Straße,Jakov-Lind-Straße,82A,,2,https://anachb.vor.at?P=SQ&input=Wien%20Jakov-Lind-Straße&start=1,
OEFFHALTESTOGD.8752595,8752595,POINT (16.281174643894232 48.13770718452911),Schartlgasse,Schartlgasse,"66A, N66",,2,https://anachb.vor.at?P=SQ&input=Wien%20Schartlgasse&start=1,
OEFFHALTESTOGD.8752596,8752596,POINT (16.281174643894232 48.13770718452911),Schartlgasse,Schartlgasse,N66,,10,https://anachb.vor.at?P=SQ&input=Wien%20Schartlgasse&start=1,
OEFFHALTESTOGD.8752597,8752597,POINT (16.281174643894232 48.13770718452911),Schartlgasse,Schartlgasse,N66,,11,https://anachb.vor.at?P=SQ&input=Wien%20Schartlgasse&start=1,
OEFFHALTESTOGD.8752598,8752598,POINT (16.32690768034884 48.181127248438386),Haschkagasse,Haschkagasse,"9A, 7A",,2,https://anachb.vor.at?P=SQ&input=Wien%20Haschkagasse&start=1,
OEFFHALTESTOGD.8752599,8752599,POINT (16.327015478640895 48.18028865266137),Haschkagasse,Haschkagasse,"9A, 7A",,2,https://anachb.vor.at?P=SQ&input=Wien%20Haschkagasse&start=1,
OEFFHALTESTOGD.8752600,8752600,POINT (16.261447746483224 48.143018372069925),Rudolf-Waisenhorn-Gasse,Rudolf-Waisenhorn-Gasse,"N60, 60A, N61",,2,https://anachb.vor.at?P=SQ&input=Wien%20Rudolf-Waisenhorn-Gasse&start=1,
OEFFHALTESTOGD.8752601,8752601,POINT (16.261447746483224 48.143018372069925),Rudolf-Waisenhorn-Gasse,Rudolf-Waisenhorn-Gasse,"N60, N61",,10,https://anachb.vor.at?P=SQ&input=Wien%20Rudolf-Waisenhorn-Gasse&start=1,
OEFFHALTESTOGD.8752602,8752602,POINT (16.261447746483224 48.143018372069925),Rudolf-Waisenhorn-Gasse,Rudolf-Waisenhorn-Gasse,"N60, N61",,11,https://anachb.vor.at?P=SQ&input=Wien%20Rudolf-Waisenhorn-Gasse&start=1,
OEFFHALTESTOGD.8752603,8752603,POINT (16.261447746483224 48.143018372069925),Rudolf-Waisenhorn-Gasse,Rudolf-Waisenhorn-Gasse,"N60, N61",,13,https://anachb.vor.at?P=SQ&input=Wien%20Rudolf-Waisenhorn-Gasse&start=1,
OEFFHALTESTOGD.8752604,8752604,POINT (16.261447746483224 48.143018372069925),Rudolf-Waisenhorn-Gasse,Rudolf-Waisenhorn-Gasse,"N60, N61",,12,https://anachb.vor.at?P=SQ&input=Wien%20Rudolf-Waisenhorn-Gasse&start=1,
OEFFHALTESTOGD.8752605,8752605,POINT (16.261600446497624 48.14297037142397),Rudolf-Waisenhorn-Gasse,Rudolf-Waisenhorn-Gasse,"N60, 60A, N61",,2,https://anachb.vor.at?P=SQ&input=Wien%20Rudolf-Waisenhorn-Gasse&start=1,
OEFFHALTESTOGD.8752606,8752606,POINT (16.261600446497624 48.14297037142397),Rudolf-Waisenhorn-Gasse,Rudolf-Waisenhorn-Gasse,"N60, N61",,10,https://anachb.vor.at?P=SQ&input=Wien%20Rudolf-Waisenhorn-Gasse&start=1,
OEFFHALTESTOGD.8752607,8752607,POINT (16.261600446497624 48.14297037142397),Rudolf-Waisenhorn-Gasse,Rudolf-Waisenhorn-Gasse,"N60, N61",,11,https://anachb.vor.at?P=SQ&input=Wien%20Rudolf-Waisenhorn-Gasse&start=1,
OEFFHALTESTOGD.8752608,8752608,POINT (16.261600446497624 48.14297037142397),Rudolf-Waisenhorn-Gasse,Rudolf-Waisenhorn-Gasse,"N60, N61",,13,https://anachb.vor.at?P=SQ&input=Wien%20Rudolf-Waisenhorn-Gasse&start=1,
OEFFHALTESTOGD.8752609,8752609,POINT (16.261600446497624 48.14297037142397),Rudolf-Waisenhorn-Gasse,Rudolf-Waisenhorn-Gasse,"N60, N61",,12,https://anachb.vor.at?P=SQ&input=Wien%20Rudolf-Waisenhorn-Gasse&start=1,
OEFFHALTESTOGD.8752610,8752610,POINT (16.28366294425915 48.14744183639739),Rudolf-Zeller-Gasse,Rudolf-Zeller-Gasse,"66A, 56A, 60A, N66",,2,https://anachb.vor.at?P=SQ&input=Wien%20Rudolf-Zeller-Gasse&start=1,
OEFFHALTESTOGD.8752611,8752611,POINT (16.28366294425915 48.14744183639739),Rudolf-Zeller-Gasse,Rudolf-Zeller-Gasse,N66,,10,https://anachb.vor.at?P=SQ&input=Wien%20Rudolf-Zeller-Gasse&start=1,
OEFFHALTESTOGD.8752612,8752612,POINT (16.28366294425915 48.14744183639739),Rudolf-Zeller-Gasse,Rudolf-Zeller-Gasse,N66,,11,https://anachb.vor.at?P=SQ&input=Wien%20Rudolf-Zeller-Gasse&start=1,
OEFFHALTESTOGD.8752613,8752613,POINT (16.283680945265196 48.147495836615064),Rudolf-Zeller-Gasse,Rudolf-Zeller-Gasse,"66A, 60A, N66, 58B",,2,https://anachb.vor.at?P=SQ&input=Wien%20Rudolf-Zeller-Gasse&start=1,
OEFFHALTESTOGD.8752614,8752614,POINT (16.283680945265196 48.147495836615064),Rudolf-Zeller-Gasse,Rudolf-Zeller-Gasse,N66,,10,https://anachb.vor.at?P=SQ&input=Wien%20Rudolf-Zeller-Gasse&start=1,
OEFFHALTESTOGD.8752615,8752615,POINT (16.283680945265196 48.147495836615064),Rudolf-Zeller-Gasse,Rudolf-Zeller-Gasse,N66,,11,https://anachb.vor.at?P=SQ&input=Wien%20Rudolf-Zeller-Gasse&start=1,
OEFFHALTESTOGD.8752616,8752616,POINT (16.37106871063135 48.21446726261081),Rudolfsplatz,Rudolfsplatz,"2A, 3A",,2,https://anachb.vor.at?P=SQ&input=Wien%20Rudolfsplatz&start=1,
OEFFHALTESTOGD.8752617,8752617,POINT (16.386402844065262 48.2205305236282),Rueppgasse,Rueppgasse,"5B, 2",,1,https://anachb.vor.at?P=SQ&input=Wien%20Rueppgasse&start=1,
OEFFHALTESTOGD.8752618,8752618,POINT (16.386402844065262 48.2205305236282),Rueppgasse,Rueppgasse,"5B, 2",,2,https://anachb.vor.at?P=SQ&input=Wien%20Rueppgasse&start=1,
OEFFHALTESTOGD.8752619,8752619,POINT (16.385765047805197 48.220470624358455),Rueppgasse,Rueppgasse,"71, 2",,1,https://anachb.vor.at?P=SQ&input=Wien%20Rueppgasse&start=1,
OEFFHALTESTOGD.8752620,8752620,POINT (16.385711148236005 48.220500624545096),Rueppgasse,Rueppgasse,5B,,2,https://anachb.vor.at?P=SQ&input=Wien%20Rueppgasse&start=1,
OEFFHALTESTOGD.8752621,8752621,POINT (16.38633104510133 48.22054842355483),Rueppgasse,Rueppgasse,71,,1,https://anachb.vor.at?P=SQ&input=Wien%20Rueppgasse&start=1,
