FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,LTYP,WEBLINK1,SE_ANNO_CAD_DATA
,,POINT (16.381354347930472 48.18804186200575),,,"1, 18, CJX9, D, O, R 21222, R3, REX1, REX2, REX3, REX92, S1, S2, S3, S4, U2Z, WLB",,,,
,,POINT (16.376404665179006 48.1852090782194),,,"1, 1155, 1158, 120, 13A, 18, 200, 209, 210, 227, 303, 309, 6011, 69A, 7940, 7941, B23, B24, B25, D 14000, D 15738, D 16664, D 16845, D 19930, D 30, D 30653, D 525, D 722, EC 340, IC 358, IC 733, ICE 23, ICE 90, ICE 95, N66, NJ 40294, NJ 467, O, R3, RJ 1023, RJ 19932, RJ 535, RJ 559, RJ 644, RJX 865, SV500, SV700, SV910",,,,
,,POINT (16.39182868759648 48.17746430572988),,,"EN 1152, EN 1153, NJ 446, NJ 447",,,,
,,POINT (16.48450763311871 48.28523973426352),,,"25A, 25B, 511, 85A, R1, REX1, S1, SV901",,,,
,,POINT (16.37026918598122 48.19387176066062),,,"N66, U1",,,,
,,POINT (16.338424062032416 48.208558911063236),,,"46, N46, N8, U6",,,,
,,POINT (16.384166099016475 48.234058139878826),,,"1, 2, 37A, 5A, N29, R 21222, R1, R3, REX1, REX2, REX3, REX7, REX92, S1, S2, S3, S4, S7, SV903",,,,
,,POINT (16.327895853990555 48.16507222510373),,,U6,,,,
,,POINT (16.2867441910502 48.19099742638381),,,"47A, N54, U4",,,,
,,POINT (16.399509268632983 48.18809574997063),,,"18, 71, 74A, D, N71, S7, SV907",,,,
,,POINT (16.357962361809058 48.205134415058374),,,"13A, 48A, 49, N46, N49, N71, U3",,,,
,,POINT (16.401880774082226 48.22408549747421),,,"11A, 11B, N25, U1",,,,
,,POINT (16.21228321671665 48.21048956042507),,,S50,,,,
,,POINT (16.33764255072258 48.19667724793269),,,"18, 49, 5, 52, 6, 60, 9, N49, N54, N6, N8, REX51, U3, VAL 1, WB 901, WB 903, WB 904, WB 908, WB 91, WB 910, WB 914, WB 917, WB 918, WB 920, WB 928, WB 930, WB 948, WB 952, WB 953, WB 959, WB 960, WB 961, WB 962, WB 964, WB 965, WB 968",,,,
,,POINT (16.38647464030894 48.145739580441536),,,"16A, 17A, 67A, 67B, N17, N67, U1",,,,
,,POINT (16.236250104458758 48.204754372046715),,,"450, 451, 453, 50A, N49, S50, SV110",,,,
,,POINT (16.316972386302115 48.150882099012335),,,"60A, 64A, 64B, 66A, 67B, N64, N66, N8, U6",,,,
,,POINT (16.349320632632672 48.225264523873875),,,"40, 40A, 41, 42, 42E, 9, N41, N8, U6",,,,
,,POINT (16.426359703786545 48.153839596577235),,,"S7, SV907",,,,
,,POINT (16.308865285185515 48.30699046880814),,,"400, 404, 406",,,,
,,POINT (16.31407556917689 48.311334143599275),,,"1, 402, 403",,,,
,,POINT (16.319788740367038 48.31043794171652),,,"401, 402, 403",,,,
,,POINT (16.33258965469099 48.30033387763675),,,"2, 400, 401",,,,
,,POINT (16.29957682988192 48.30627948130081),,,"400, 404, 406",,,,
,,POINT (16.31624044793156 48.306512463789296),,,"400, 402, 403, 404, 406",,,,
,,POINT (16.3293377811764 48.30498285907575),,,"1, 2, 400, 401, 403, 404, 406",,,,
,,POINT (16.325281961562844 48.304851359811295),,,"1, 2",,,,
,,POINT (16.32601409331128 48.30327387018616),,,"1, 2, 3, 401, 403, 404, 406",,,,
,,POINT (16.32297782000004 48.30880084654677),,,"1, 142, 400, 402, 403, 404, 406",,,,
,,POINT (16.576373382925084 48.35657667354444),,,"530, 531",,,,
,,POINT (16.565063622215604 48.302825540888925),,,"520, 521, 554, R1, REX1, S1, SV901",,,,
,,POINT (16.563653229886803 48.30349473894849),,,"520, 521",,,,
,,POINT (16.57295970235528 48.31181779076281),,,"520, 521",,,,
,,POINT (16.575070797745443 48.31413587772372),,,"520, 521",,,,
,,POINT (16.580254167509644 48.358582360599485),,,"530, 531",,,,
,,POINT (16.569330608484098 48.30654211879986),,,"520, 521",,,,
,,POINT (16.577684890577252 48.317003361578664),,,"520, 521",,,,
,,POINT (16.560257634814167 48.29784766934394),,,"520, 521, 522, 554",,,,
,,POINT (16.588814935591664 48.31686595141452),,,521,,,,
,,POINT (16.584476059053507 48.318078649375956),,,521,,,,
,,POINT (16.595776897110145 48.31464965529533),,,521,,,,
,,POINT (16.592471115294412 48.31567715356924),,,521,,,,
,,POINT (16.57077680850064 48.30940410426622),,,"520, 521",,,,
,,POINT (16.560230632250384 48.296795873951936),,,"520, 522, 554",,,,
,,POINT (16.49061100655021 48.03500928950853),,,"221, 222, 226, 248, AIT, AST, REX6, REX62, REX63, REX64, S60, SV700",,,,
,,POINT (16.12622096922566 48.39242753970955),,,"841, 842",,,,
,,POINT (16.48993719720989 48.028701820775225),,,"222, 226, 248, AST",,,,
,,POINT (16.49633324892705 48.021354049060356),,,"222, 226, 248",,,,
,,POINT (16.49258727399881 48.0240878403918),,,"222, 226, 248",,,,
,,POINT (16.2440612907405 48.34717464016146),,,403,,,,
,,POINT (16.240396104348896 48.34499545484924),,,"403, 413, S40, SV810",,,,
,,POINT (16.45931456917965 48.36259345825766),,,501,,,,
,,POINT (16.47084881395765 48.363249943386606),,,501,,,,
,,POINT (16.543782382712546 48.19037429784128),,,551,,,,
,,POINT (16.54960337516334 48.19976964734713),,,"26A, 550, 551, 552, 553",,,,
,,POINT (16.545444183313865 48.19423087735681),,,551,,,,
,,POINT (16.59786988051642 48.311560868113936),,,"521, 522, S1, SV901",,,,
,,POINT (16.134574547487034 48.08294560919685),,,252,,,,
,,POINT (16.559476037287467 48.297321772660844),,,"520, 521, 522",,,,
,,POINT (16.513185518487937 48.044751421850194),,,"221, 222, 248",,,,
,,POINT (16.517138102003702 48.04662510892669),,,"227, 248",,,,
,,POINT (16.629993659050527 48.37500623444058),,,"520, 530, 531",,,,
,,POINT (16.493297600771083 48.36168022937749),,,"500, 501, 502, 505",,,,
,,POINT (16.49128540928478 48.36084463502192),,,501,,,,
,,POINT (16.491438106748962 48.36038503706151),,,"500, 502, 505",,,,
,,POINT (16.608379626375505 48.07864806815481),,,"222, 272",,,,
,,POINT (16.605558951153892 48.08355124750175),,,"221, 222, 248, 272",,,,
,,POINT (16.4339731739253 48.35352652578195),,,853,,,,
,,POINT (16.42877201509048 48.36059989708303),,,853,,,,
,,POINT (16.424792435323663 48.36119679827213),,,"501, 853",,,,
,,POINT (16.42901450831865 48.358188508707),,,"501, 853",,,,
,,POINT (16.24189608752289 48.249460608871566),,,445,,,,
,,POINT (16.493980396982778 48.36102363225501),,,501,,,,
,,POINT (16.57330119979612 48.35725717309577),,,"530, 531",,,,
,,POINT (16.56538704297886 48.35938217113825),,,"530, 531",,,,
,,POINT (16.614946376244326 48.116894679260405),,,"221, 222, 273, REX7, S7, SV907",,,,
,,POINT (16.606026122662648 48.11795618249892),,,221,,,,
,,POINT (16.425942346134978 48.368752560887486),,,501,,,,
,,POINT (16.610688401329472 48.118915773231876),,,"221, 222, 273",,,,
,,POINT (16.59592069481341 48.3600148387452),,,"530, 531",,,,
,,POINT (16.606619023847614 48.11986327295552),,,221,,,,
,,POINT (16.6050739321977 48.12043897174999),,,"221, 222, 273",,,,
,,POINT (16.37749634346243 48.34981329797412),,,"853, 857",,,,
,,POINT (16.64363859463474 48.190332301394925),,,552,,,,
,,POINT (16.426256733156595 48.3632081867401),,,501,,,,
,,POINT (16.445309753924757 48.323801256301415),,,"500, 502, 505, 513, G3",,,,
,,POINT (16.447214247682847 48.32540204712352),,,"500, 502, 505, 513",,,,
,,POINT (16.43871617536759 48.318622387255324),,,"500, 502, 505, 513",,,,
,,POINT (16.159799064632825 48.05611321200213),,,"265, 308",,,,
,,POINT (16.199019270045266 48.05412568377121),,,"265, 308",,,,
,,POINT (16.2006901617678 48.05417368112425),,,"265, 308",,,,
,,POINT (16.211928014816163 48.05766825360786),,,265,,,,
,,POINT (16.197860474052664 48.05373538607041),,,"265, 308",,,,
,,POINT (16.218324010958366 48.0701493882856),,,265,,,,
,,POINT (16.206277637567545 48.055362570546386),,,265,,,,
,,POINT (16.21523381234104 48.06400822008197),,,265,,,,
,,POINT (16.16475809983373 48.21999202513189),,,"447, 451, 458",,,,
,,POINT (16.14347711912869 48.226623214249244),,,"447, 448, 451",,,,
,,POINT (16.153394476006966 48.22934009170177),,,"107, 447, 448, 451, 458",,,,
,,POINT (16.149019701716785 48.23105148744476),,,"447, 451, 458",,,,
,,POINT (16.14070135377017 48.23638887082977),,,"447, 451, 458",,,,
,,POINT (16.158164547290983 48.22680869873529),,,"448, 451, 458",,,,
,,POINT (16.141599623166226 48.224426926583845),,,"447, 448, 451",,,,
,,POINT (16.160787528542294 48.224133609356244),,,"447, 448, 451, 458",,,,
,,POINT (16.13765604030407 48.22329583590333),,,"447, 448, 451",,,,
,,POINT (16.646423086372252 48.05298435325993),,,272,,,,
,,POINT (16.640072020304 48.05456355195093),,,272,,,,
,,POINT (16.633289758228965 48.056611048436864),,,272,,,,
,,POINT (16.48324540178973 48.29296506719458),,,"25B, 511",,,,
,,POINT (16.445156994057275 48.29586968966436),,,510,,,,
,,POINT (16.143369304906873 48.220249444846345),,,"447, 448",,,,
