FID,SHAPE,NAME,ADRESSE,SE_SDO_ROWID,SE_ANNO_CAD_DATA,WEBLINK1
POLIZEIOGD.3935116,POINT (16.355362733512518 48.215925501185396),Polizeiinspektion Wien-Otto-Wagner-Platz,"09., Otto-Wagner-Platz 4",3935116,,https://www.polizei.gv.at/
POLIZEIOGD.3935126,POINT (16.41319104406358 48.17516746010826),Polizeiinspektion Wien-Sedlitzkygasse,"11., Sedlitzkygasse 27",3935126,,https://www.polizei.gv.at/
POLIZEIOGD.3935127,POINT (16.4642680423949 48.15989483148513),Polizeiinspektion Wien-Kaiser-Ebersdorfer-Straße,"11., Kaiser-Ebersdorfer-Straße 290",3935127,,https://www.polizei.gv.at/
POLIZEIOGD.3935128,POINT (16.42448286549644 48.16586482758452),Polizeiinspektion Wien-Simmeringer Hauptstraße,"11., Simmeringer Hauptstraße 164",3935128,,https://www.polizei.gv.at/
POLIZEIOGD.3935129,POINT (16.4698241159176 48.152730861566035),Polizeiinspektion Wien-Sängergasse,"11., Sängergasse 11",3935129,,https://www.polizei.gv.at/
POLIZEIOGD.3935131,POINT (16.32879337692488 48.18256586716495),Polizeiinspektion Wien-Hufelandgasse,"12., Hufelandgasse 4",3935131,,https://www.polizei.gv.at/
POLIZEIOGD.3935132,POINT (16.33849513168905 48.18443570243054),Polizeiinspektion Wien-Arndtstraße,"12., Arndtstraße 40",3935132,,https://www.polizei.gv.at/
POLIZEIOGD.3935133,POINT (16.326054269922956 48.16091196226105),Polizeiinspektion Wien-Am Schöpfwerk,"12., Am Schöpfwerk 29",3935133,,https://www.polizei.gv.at/
POLIZEIOGD.3935134,POINT (16.324513605556813 48.17426410967813),Polizeiinspektion Wien-Hohenbergstraße,"12., Hohenbergstraße 1",3935134,,https://www.polizei.gv.at/
POLIZEIOGD.3935135,POINT (16.284057506694616 48.1764273242783),Polizeiinspektion Wien-Lainzer Straße,"13., Lainzer Straße 147-149",3935135,,https://www.polizei.gv.at/
POLIZEIOGD.3935136,POINT (16.302399279501486 48.18595945723764),Polizeiinspektion Wien-Am Platz,"13., Am Platz (Schönbrunn) ",3935136,,https://www.polizei.gv.at/
POLIZEIOGD.3935137,POINT (16.277309108131334 48.18951271608505),Polizeiinspektion Wien-Preindlgasse,"13., Preindlgasse 21",3935137,,https://www.polizei.gv.at/
POLIZEIOGD.3935139,POINT (16.3321293512806 48.197849862279305),Polizeiinspektion Wien-Tannengasse,"15., Tannengasse 8-10",3935139,,https://www.polizei.gv.at/
POLIZEIOGD.3935140,POINT (16.30271330605141 48.198437368059345),Polizeiinspektion Wien-Leyserstraße,"14., Leyserstraße 2",3935140,,https://www.polizei.gv.at/
POLIZEIOGD.3935141,POINT (16.219243677111887 48.20768146549421),Polizeiinspektion Wien-Albert-Schweitzer-Gasse,"14., Albert-Schweitzer-Gasse 6",3935141,,https://www.polizei.gv.at/
POLIZEIOGD.3935142,POINT (16.332827490492914 48.18529761163507),Polizeiinspektion Wien-Storchengasse,"15., Storchengasse 1",3935142,,https://www.polizei.gv.at/
POLIZEIOGD.3935143,POINT (16.337753631674428 48.196098696981494),Polizeiinspektion Wien-Westbahnhof,"15., Europaplatz 2",3935143,,https://www.polizei.gv.at/
POLIZEIOGD.3935144,POINT (16.320517468265127 48.19841690681371),Polizeiinspektion Wien-Wurmsergasse,"15., Wurmsergasse 35",3935144,,https://www.polizei.gv.at/
POLIZEIOGD.3935146,POINT (16.318594999499 48.21379243437395),Polizeiinspektion Wien-Wattgasse,"16., Wattgasse 15",3935146,,https://www.polizei.gv.at/
POLIZEIOGD.3935154,POINT (16.35585691394157 48.24748756008019),"Stadtpolizeikommando Wien-18,19","19., Hohe Warte 32",3935154,,https://www.polizei.gv.at/
